Num_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
4730,262,29,26.15,49.4418,100
3123,244,10,20.5,49.9471,100
4316,285,29,25.6,54.3276,100
3796,232,45,23.425,51.3251,100
1275,146,1,10.35,47.8736,100
3177,254,19,20.275,52.805,100
3012,227,7,18.775,46.3827,100
3679,246,10,21.6,53.9557,100
3059,230,7,20.175,48.4919,100
3314,253,26,22.225,48.5135,100
3305,228,13,20.6,51.0969,100
2954,204,12,18.3,47.8169,100
2012,184,11,13.875,50.9969,100
4486,276,28,26.325,53.6092,100
3817,253,19,23.15,55.5431,100
3094,239,26,19.525,51.7149,100
3175,249,31,20.6,49.5673,100
3060,241,27,20.375,47.9029,100
2876,229,14,18.675,49.0268,100
3734,273,26,22.875,53.6917,100
3458,265,20,23,53.7907,100
4361,278,24,27,51.4033,100
2436,223,18,18,50.5101,100
4719,291,32,28.275,50.5782,100
3522,256,25,20.45,50.9285,100
5098,298,38,30.75,51.4089,100
4194,271,18,22.725,50.0508,100
1427,158,6,12.3,49.5376,100
2214,195,12,15.25,49.8792,100
3048,239,14,21.65,49.1789,100
3397,265,13,21.75,51.7484,100
3896,284,4,22.75,53.1532,100
3137,259,26,21.275,46.7687,100
3675,260,17,21.55,51.4644,100
2285,216,44,17.6,48.4531,100
2602,198,10,17.5,48.5715,100
1814,187,10,14.175,48.6548,100
4841,278,19,25.8,49.3209,100
3703,269,31,22.45,51.0975,100
3183,226,5,20.9,49.8995,100
3001,234,21,20.425,51.3672,100
2862,227,13,18.4,48.2145,100
4005,261,15,24.625,50.8363,100
4486,280,43,26.4,51.31,100
3811,257,13,22.4,52.6608,100
3513,271,25,22.1,51.0164,100
2190,200,15,16.875,50.4203,100
3138,254,25,20.95,55.213,100
4318,284,34,27.85,51.2395,100
5323,298,38,31.15,51.1042,100
4935,284,15,26.95,55.0646,100
3938,254,12,23.85,50.9251,100
2518,185,4,17.175,49.5627,100
3707,271,39,23.6,51.2543,100
2783,241,10,18.625,50.6567,100
2467,215,50,18.825,51.1832,100
3098,245,29,20.5,53.5166,100
4896,310,23,27.925,51.4464,100
3365,255,21,22.05,49.659,100
2427,224,13,17.45,49.4149,100
3199,212,28,20.125,51.6868,100
3006,235,26,21.05,49.1853,100
3557,258,28,24.35,49.6953,100
2884,243,11,18.65,45.6068,100
3037,253,23,20.725,48.7756,100
2999,219,34,19.45,48.0256,100
2562,198,4,16.55,48.929,100
3678,256,10,22.1,52.0463,100
2897,219,19,19.9,49.5193,100
3534,237,7,20.475,49.993,100
4323,284,17,25.6,54.4801,100
2627,211,27,19.125,51.1515,100
3517,275,39,24.4,52.1574,100
2979,219,7,17.4,49.4333,100
2422,197,7,15.525,50.4401,100
1957,187,33,14.4,51.168,100
4640,272,12,27.15,54.0281,100
3491,239,30,22.3,49.9422,100
3585,268,21,23.75,53.4802,100
4790,312,39,28.775,53.8179,100
3469,239,15,23.25,49.7697,100
4577,276,30,26.225,53.3954,100
3769,249,17,22.3,50.7219,100
2914,254,15,19.45,51.0951,100
2225,205,7,15.625,50.565,100
3216,247,15,21.5,47.369,100
3833,259,36,23.275,51.9511,100
4087,272,14,24.4,50.7858,100
3454,240,6,21.4,52.1138,100
2432,211,21,17.95,48.435,100
2780,223,2,16.525,50.415,100
2342,228,25,16.775,48.4634,100
3852,262,20,23.1,52.2342,100
4464,273,18,25.45,50.9073,100
2963,230,37,19.1,50.1159,100
3864,274,17,23.8,53.7919,100
3289,251,29,22.4,54.3974,100
801,119,1,7.875,46.6679,100
2312,207,12,16.425,49.9308,100
3529,254,24,22.5,52.262,100
