Speed_Category,Total_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
SPEED_020,4730,262,29,1422.93,2.21063e+06,100
SPEED_020,3123,244,10,1319.3,2.20186e+06,100
SPEED_020,4316,285,29,1367.05,2.41782e+06,100
SPEED_020,3796,232,45,1472.9,2.10976e+06,100
SPEED_020,1275,146,1,1270.4,1.81822e+06,100
SPEED_020,3177,254,19,1346.2,2.57209e+06,100
SPEED_020,3012,227,7,1330.1,2.02146e+06,100
SPEED_020,3679,246,10,1405.28,2.37813e+06,100
SPEED_020,3059,230,7,1415.8,2.17058e+06,100
SPEED_020,3314,253,26,1366.78,1.84917e+06,100
SPEED_020,3305,228,13,1382.05,2.35068e+06,100
SPEED_020,2954,204,12,1344.83,2.16911e+06,100
SPEED_020,2012,184,11,1296.95,2.13452e+06,100
SPEED_020,4486,276,28,1404.18,2.39373e+06,100
SPEED_020,3817,253,19,1391.9,2.12493e+06,100
SPEED_020,3094,239,26,1334.65,2.26825e+06,100
SPEED_020,3175,249,31,1331.95,2.19566e+06,100
SPEED_020,3060,241,27,1308.68,1.82497e+06,100
SPEED_020,2876,229,14,1367.78,2.08219e+06,100
SPEED_020,3734,273,26,1407.68,2.20263e+06,100
SPEED_020,3458,265,20,1406.05,2.25467e+06,100
SPEED_020,4361,278,24,1464.55,2.35258e+06,100
SPEED_020,2436,223,18,1305.83,2.05008e+06,100
SPEED_020,4719,291,32,1476.68,2.15752e+06,100
SPEED_020,3522,256,25,1407.78,2.07075e+06,100
SPEED_020,5098,298,38,1501.9,1.95648e+06,100
SPEED_020,4194,271,18,1403.03,2.29285e+06,100
SPEED_020,1427,158,6,1270.05,2.25563e+06,100
SPEED_020,2214,195,12,1304.68,2.01865e+06,100
SPEED_020,3048,239,14,1331.18,2.26594e+06,100
SPEED_020,3397,265,13,1441.78,2.08425e+06,100
SPEED_020,3896,284,4,1404.8,2.53284e+06,100
SPEED_020,3137,259,26,1329.4,1.77646e+06,100
SPEED_020,3675,260,17,1358.53,2.37488e+06,100
SPEED_020,2285,216,44,1331.3,2.08825e+06,100
SPEED_020,2602,198,10,1307.18,2.18443e+06,100
SPEED_020,1814,187,10,1270.68,1.95482e+06,100
SPEED_020,4841,278,19,1453.65,1.79281e+06,100
SPEED_020,3703,269,31,1395.43,2.39992e+06,100
SPEED_020,3183,226,5,1380.55,1.85385e+06,100
SPEED_020,3001,234,21,1349.4,2.20766e+06,100
SPEED_020,2862,227,13,1333.8,2.26261e+06,100
SPEED_020,4005,261,15,1439.68,2.16007e+06,100
SPEED_020,4486,280,43,1368.18,2.18496e+06,100
SPEED_020,3811,257,13,1367.93,2.17661e+06,100
SPEED_020,3513,271,25,1380.53,2.24937e+06,100
SPEED_020,2190,200,15,1284.05,1.93334e+06,100
SPEED_020,3138,254,25,1340.28,2.28776e+06,100
SPEED_020,4318,284,34,1452.8,2.16398e+06,100
SPEED_020,5323,298,38,1465.2,2.37993e+06,100
SPEED_020,4935,284,15,1442.85,2.31454e+06,100
SPEED_020,3938,254,12,1467.03,2.18191e+06,100
SPEED_020,2518,185,4,1307.45,1.89987e+06,100
SPEED_020,3707,271,39,1332.05,2.15618e+06,100
SPEED_020,2783,241,10,1380.78,1.97991e+06,100
SPEED_020,2467,215,50,1306.55,2.13489e+06,100
SPEED_020,3098,245,29,1333.03,2.47283e+06,100
SPEED_020,4896,310,23,1416.4,2.19634e+06,100
SPEED_020,3365,255,21,1394.78,1.94226e+06,100
SPEED_020,2427,224,13,1297.53,1.97036e+06,100
SPEED_020,3199,212,28,1357.6,2.18197e+06,100
SPEED_020,3006,235,26,1401.35,2.28916e+06,100
SPEED_020,3557,258,28,1411.05,2.33058e+06,100
SPEED_020,2884,243,11,1346.18,1.83869e+06,100
SPEED_020,3037,253,23,1346.65,2.26265e+06,100
SPEED_020,2999,219,34,1334.05,1.90454e+06,100
SPEED_020,2562,198,4,1309.53,1.94824e+06,100
SPEED_020,3678,256,10,1379.45,2.13872e+06,100
SPEED_020,2897,219,19,1329.3,2.05526e+06,100
SPEED_020,3534,237,7,1380.65,1.94736e+06,100
SPEED_020,4323,284,17,1428.78,2.17056e+06,100
SPEED_020,2627,211,27,1355.28,2.16874e+06,100
SPEED_020,3517,275,39,1392.15,2.10668e+06,100
SPEED_020,2979,219,7,1346.3,2.20354e+06,100
SPEED_020,2422,197,7,1310.03,2.08519e+06,100
SPEED_020,1957,187,33,1297.93,2.15393e+06,100
SPEED_020,4640,272,12,1467.93,2.64457e+06,100
SPEED_020,3491,239,30,1388.22,2.07076e+06,100
SPEED_020,3585,268,21,1426.78,2.22048e+06,100
SPEED_020,4790,312,39,1404.55,2.17648e+06,100
SPEED_020,3469,239,15,1455.28,2.1074e+06,100
SPEED_020,4577,276,30,1452.3,2.18584e+06,100
SPEED_020,3769,249,17,1416.3,1.84897e+06,100
SPEED_020,2914,254,15,1356.53,1.98391e+06,100
SPEED_020,2225,205,7,1320.08,1.80601e+06,100
